CENSUS YEAR|TRACT|BLOCK GROUP|FIPS ID|TOTAL POPULATION|POPULATION WHITE|POPULATION BLACK|POPULATION ASIAN|POPULATION OTHER|POPULATION AMERICAN INDIAN|POPULATION PACIFIC ISLANDER|POPULATION ONE RACE|POPULATION MULTI RACE|POPULATION 25 OLDER|MEDIAN AGE|MEDIAN HOUSEHOLD INCOME|HIGH SCHOOL MALE|HIGH SCHOOL MORE MALE|COLLEGE 1 YR LESS MALE|COLLEGE 1 YR MORE MALE|ASSOCIATES DEGREE MALE|BACHELORS DEGREE MALE|MASTERS DEGREE MALE|PROFESSIONAL DEGREE MALE|DOCTORAL DEGREE MALE|HIGH SCHOOL FEMALE|HIGH SCHOOL MORE FEMALE|COLLEGE 1 YR LESS FEMALE|COLLEGE 1 YR MORE FEMALE|ASSOCIATES DEGREE FEMALE|BACHELORS DEGREE FEMALE|MASTERS DEGREE FEMALE|PROFESSIONAL DEGREE FEMALE|DOCTORAL DEGREE FEMALE|PERCENT 25 YR OVER HIGH SCHOOL MORE|HOUSING UNITS|OCCUPIED HOUSING UNITS|OWNER OCCUPIED HOUSING|RENTER OCCUPIED HOUSING|PERCENT OWNER OCCUPIED|PERCENT RENTER OCCUPIED|MEDIAN HOUSE VALUE OWNER OCCUPIED|MEDIAN YEAR BUILT|VACANCY RATES
2010|40.14|4|220330040144|2325|1988|156|148|4|5|0|2301|24|1422|38.200000000000003|126188|0|616|10|19|9|209|140|129|100|19|708|25|106|0|315|191|37|34|96.58%|749|749|1962|269|87.94%|12.06%|$351000.00|1993|0%
2010|40.14|5|220330040145|1538|1258|139|120|4|2|0|1523|15|476|22.4|21912|0|269|0|80|0|56|38|0|95|0|200|16|9|0|60|29|11|75|100%|649|610|1079|673|61.59%|38.409999999999997%|$232300.00|2003|6.01%
2010|40.15|1|220330040151|4133|1043|2809|103|71|8|2|4036|97|2167|25.9|58173|363|567|73|255|8|160|44|0|27|294|483|18|108|56|215|70|6|10|55.31%|1551|1203|2444|1229|66.540000000000006%|33.46%|$134000.00|2000|22.44%
2010|40.15|2|220330040152|2812|678|1685|48|318|7|2|2738|74|1505|26|43431|287|269|18|51|45|99|38|0|18|330|364|39|72|19|139|54|24|17|42.76%|1244|870|821|1836|30.9%|69.099999999999994%|$130600.00|2001|30.06%
2010|40.15|3|220330040153|1529|1153|223|108|10|4|1|1499|30|618|23.8|14400|16|322|0|73|0|187|62|0|0|0|346|0|51|88|160|10|0|37|97.63%|811|692|179|1107|13.92%|86.08%|$316700.00|1992|14.67%
2010|40.16|1|220330040161|2356|2164|78|93|9|0|0|2344|12|1730|50.7|225087|31|799|34|131|11|237|118|201|67|69|730|9|179|21|309|135|77|0|93.81%|852|829|2247|27|98.81%|1.19%|$668900.00|1994|2.7%
2010|40.16|2|220330040162|4419|3376|511|441|29|10|0|4367|52|2938|32.9|111111|43|1433|119|182|30|684|174|102|142|162|1414|96|245|53|618|304|33|65|91.76%|1781|1746|4811|150|96.98%|3.02%|$248400.00|2004|1.97%
2010|42.01|1|220330042011|1009|248|732|0|0|4|0|984|25|645|35.799999999999997|53171|132|164|51|113|0|0|0|0|0|121|163|14|112|37|0|0|0|0|52.81%|367|248|791|57|93.28%|6.72%|$91800.00|1976|32.43%
2010|42.01|2|220330042012|1268|136|1111|0|9|1|0|1257|11|867|41.6|43836|82|193|41|67|0|33|19|0|33|72|322|0|37|28|129|113|0|15|73.83%|488|411|768|121|86.39%|13.61%|$182000.00|1975|15.78%
2010|42.01|3|220330042013|1258|8|1244|0|0|3|0|1255|3|725|31.1|26377|70|132|0|88|14|30|0|0|0|76|202|18|86|18|48|32|0|0|40.880000000000003%|411|411|1030|250|80.47%|19.53%|$101000.00|1975|0%
2010|42.01|4|220330042014|768|227|525|0|1|1|0|754|14|483|34.6|47266|65|81|0|66|0|0|15|0|0|38|79|20|16|43|0|0|0|0|53.36%|318|249|241|175|57.93%|42.07%|$64800.00|1981|21.7%
2010|42.01|5|220330042015|694|148|535|6|5|0|0|694|0|463|36.700000000000003|33728|70|158|0|118|0|40|0|0|0|190|132|16|101|0|15|0|0|0|45.15%|401|363|654|685|48.84%|51.16%|$111700.00|1975|9.48%
